30,2/4/2024,1,BoatCanteen
30,2/4/2024,2,Subscription
16,3/4/2024,3,MetroTicket
32,5/4/2024,6,HostelBroom
57,6/4/2024,4,CoepStationary
12,8/4/2024,5,InAngelOne
38,10/4/2024,3,BusTicket
105,11/4/2024,5,InAngelOne
16,13/4/2024,1,Breakfast
20,14/4/2024,4,Stationary
45,16/4/2024,3,BusTicketSwargate
18,20/04/2024,1,Canteen
17,21/04/2024,6,BulbContri.
45,23/04/2024,5,AngelOneStock
35,24/04/2024,2,ParkTicket
29,26/04/2024,4,CoepPages
64,28/04/2024,3,TicketToChinchwad
32,29/04/2024,1,Breakfast+Milk
5,30/04/2024,2,ExtraRecharge
20,2/8/2024,5,AngelOneStock
25,3/8/2024,6,Contri.ofBat
44,4/8/2024,3,TicketMetro
15,9/8/2024,1,Breakfast
30,11/8/2024,4,Xerox
85,13/08/2024,2,MovieTicket
31,15/08/2024,1,Sunday
29,19/08/2024,6,PrepaidRecharge
31,25/08/2024,5,Stock
20,28/08/2024,1,Canteen
42,29/08/2024,5,AngelOneStock
16,31/08/2024,3,BusTicket
